cz,Name,College_Graduation_Rate_rP_gP_pall,EmploymentRate,JobDensity
cz26703,Thief River Falls,0.3536,0.8575,5.437
cz7100,Port St. Lucie,0.3533,0.7536,144.4
cz27903,Grand Island,0.3531,0.8319,20.26
cz26301,Devils Lake,0.3528,0.809,2.636
cz3003,Jackson,0.3526,0.7542,51.94
cz19902,Easton,0.3525,0.7742,46.87
cz27402,Fort Dodge,0.3523,0.8313,13.05
cz36000,Provo,0.3514,0.7071,20.75
cz8300,Greenville,0.3511,0.7606,96.2
cz23600,Burlington,0.351,0.8281,19.32
cz18300,Watertown,0.3505,0.7861,18.96
cz32702,Stephenville,0.3502,0.7472,9.63
cz30501,Woodward,0.3498,0.7652,4.119
cz11201,Bluefield,0.3487,0.7476,25.96
cz25401,Paducah,0.3483,0.7784,30.75
cz26305,Rugby,0.3483,0.8166,1.398
cz27008,Parkston,0.3479,0.8332,3.838
cz18700,Sunbury,0.3479,0.8007,69.81
cz35901,St. George,0.3478,0.7187,9.293
cz37903,Mammoth Lakes,0.3474,0.7693,1.233
cz38300,Los Angeles,0.3472,0.7437,209.6
cz26102,Marshall,0.3472,0.7976,10.91
cz16801,Beckley,0.3472,0.7571,24
cz24900,Edwardsville,0.3467,0.7993,52.82
cz500,Greensboro,0.3465,0.763,121.2
cz26002,Duluth,0.3464,0.8294,13.3
cz6900,Sarasota,0.3463,0.755,144
cz33000,Fort Worth,0.3462,0.7561,190.7
cz8401,Aiken,0.3457,0.7643,57.33
cz17200,Harrisonburg,0.3456,0.7819,39.86
cz15100,Lorain,0.3454,0.8059,163
cz36301,Pocatello,0.3449,0.7471,10.59
cz34503,Kalispell,0.3448,0.7581,6.026
cz36200,Logan,0.3442,0.7496,9.752
cz25701,Cape Girardeau,0.3442,0.781,24.91
cz34301,Cody,0.344,0.7934,2.019
cz38601,Spokane,0.3439,0.7628,25.88
cz22800,Eau Claire,0.3439,0.8399,29.69
cz23302,Douglas,0.3428,0.8194,17.37
cz38901,Eugene,0.3425,0.7541,44.86
cz12200,Grand Rapids,0.3417,0.7931,121.3
cz24702,Mexico,0.3417,0.7974,12.89
cz27006,Mitchell,0.3414,0.8284,7.178
cz36700,Eureka,0.3414,0.705,9.266
cz7400,Orlando,0.3414,0.7636,278.8
cz27702,Cheyenne,0.3407,0.819,11.18
cz22300,Ottumwa,0.3407,0.8078,17.44
cz4200,Little Rock,0.3406,0.7604,71.59
cz28605,Goodland,0.3406,0.8018,1.943
cz8800,Savannah,0.3402,0.7702,90.38
cz34901,Albuquerque,0.3401,0.7385,28.63
cz13600,South Bend,0.3401,0.7974,97.24
cz36100,Salt Lake City,0.34,0.7585,70.66
cz34202,Shelby,0.3399,0.7941,1.646
cz20001,Bangor,0.3399,0.7709,14.8
cz26303,Turtle Mountain UT,0.3394,0.7648,2.832
cz26407,Plentywood,0.3394,0.8229,1.259
cz30502,Enid,0.3391,0.7714,6.942
cz2000,Virginia Beach,0.3391,0.7789,218.4
cz26901,Fergus Falls,0.339,0.8386,14.2
cz27009,Chamberlain,0.3389,0.8167,1.687
cz26003,West Cook UT,0.3389,0.8035,1.982
cz100,Johnson City,0.3387,0.742,64.64
cz16100,State College,0.3385,0.8034,38.61
cz14500,Lafayette,0.3383,0.7961,43.6
cz31006,Guymon,0.3381,0.7823,2.356
cz27704,Gordon,0.338,0.7586,1.213
cz37400,Sacramento,0.338,0.7506,126.3
cz2900,Hattiesburg,0.3378,0.7412,29.2
cz25000,Quincy,0.3375,0.8131,18.37
cz13300,Findlay,0.3374,0.823,49.62
cz38802,The Dalles,0.3371,0.7597,6.27
